hostname,executable,timestamp,PCD_filename,Threshold-F,Decimation-F,depth_to_disparity-F,spatial_filter,temporal_filter,hole_filling_filter,disparity_to_depth-F,Sum RS2 filters,RS2 PC calc. orig.,RS2 PC calc fil.,RS2 PC to PCL orig.,RS2 PC to PCL fil.,sum RS2 depth to PCL (orig.+fil.),sum RS2 depth to PCL (fil. only)
ChrisLegion,./09_realsense_filter,10/14/23 10:35:45.889207170 UTC,20231014_09_couch_middle_no_box,4.06537 ms,30.6528 ms,17.3407 ms,5.61383 ms,0.89631 ms,0.661482 ms,0.403163 ms,59.6338 ms,20.9335 ms,0.651274 ms,52.2409 ms,1.87189 ms,75.6975 ms,2.52317 ms
ChrisLegion,./09_realsense_filter,10/14/23 10:36:05.11086988 UTC,20231014_09_couch_middle_no_box,3.64005 ms,17.1007 ms,14.8587 ms,2.42726 ms,0.618693 ms,0.500694 ms,0.292907 ms,39.4392 ms,10.0663 ms,0.60449 ms,27.7437 ms,1.76097 ms,40.1755 ms,2.36546 ms
ChrisLegion,./09_realsense_filter,10/14/23 15:01:17.502775472 UTC,PCD not saved to files,3.83125 ms,16.9233 ms,16.1024 ms,3.05833 ms,1.20638 ms,1.21805 ms,0.361289 ms,42.7011 ms,8.85417 ms,0.526498 ms,27.2023 ms,1.70175 ms,38.2847 ms,2.22824 ms
ChrisLegion,./09_realsense_filter,10/14/23 15:02:16.749863208 UTC,PCD not saved to files,3.50742 ms,17.8277 ms,15.8607 ms,4.12822 ms,0.739874 ms,0.549039 ms,0.31825 ms,42.9314 ms,8.3849 ms,0.803751 ms,28.8771 ms,1.66762 ms,39.7333 ms,2.47137 ms
ChrisLegion,./09_realsense_filter,10/14/23 15:02:32.52541745 UTC,20231014_newscene.pcd,3.91633 ms,17.0061 ms,17.1683 ms,6.50122 ms,0.979937 ms,0.731668 ms,0.400426 ms,46.7041 ms,12.0628 ms,0.600209 ms,25.9331 ms,1.7825 ms,40.3786 ms,2.38271 ms
ChrisLegion,./09_realsense_filter,10/14/23 15:02:59.365040057 UTC,20231014_newscene2.pcd,3.97642 ms,16.2728 ms,13.444 ms,5.50291 ms,1.07004 ms,0.805621 ms,0.409323 ms,41.4812 ms,10.7271 ms,0.523505 ms,27.5789 ms,2.26627 ms,41.0958 ms,2.78978 ms
ChrisLegion,./09_realsense_filter,10/14/23 15:03:24.805363462 UTC,20231014_newscene3.pcd,4.25183 ms,16.0864 ms,14.8738 ms,3.37491 ms,0.667358 ms,0.525261 ms,0.2792 ms,40.0588 ms,10.071 ms,0.590939 ms,29.2991 ms,1.7145 ms,41.6755 ms,2.30544 ms
ChrisLegion,./09_realsense_filter,10/14/23 15:03:46.126992276 UTC,20231014_newscene4.pcd,3.70355 ms,28.8181 ms,15.4304 ms,4.83821 ms,0.864839 ms,0.618432 ms,0.333587 ms,54.6072 ms,10.2469 ms,0.548824 ms,27.397 ms,1.70837 ms,39.9011 ms,2.25719 ms
ChrisLegion,./09_realsense_filter,10/14/23 15:03:59.303825705 UTC,20231014_newscene4.pcd,4.09969 ms,18.4993 ms,17.6836 ms,5.89961 ms,0.962409 ms,0.687683 ms,0.375162 ms,48.2077 ms,9.84243 ms,0.555811 ms,26.9878 ms,1.72565 ms,39.1117 ms,2.28146 ms
ChrisLegion,./09_realsense_filter,10/14/23 15:04:24.308260875 UTC,20231014_newscene5.pcd,4.1111 ms,18.2525 ms,16.5865 ms,4.88718 ms,0.775517 ms,0.578333 ms,0.325393 ms,45.5166 ms,10.5231 ms,0.504954 ms,27.088 ms,2.0442 ms,40.1602 ms,2.54916 ms
ChrisLegion,./09_realsense_filter,10/14/23 15:04:48.294602068 UTC,20231014_newscene6.pcd,4.17793 ms,17.4557 ms,16.0265 ms,5.13543 ms,0.84064 ms,0.637282 ms,0.334176 ms,44.6078 ms,10.3762 ms,0.808387 ms,27.4461 ms,1.65418 ms,40.2848 ms,2.46257 ms
